Tourist_ID,Reservation_ID,passport_number,name,email,phone-number,credit_card,Age,workclass,marital-status,occupation,education,street_address,zipcode,gender,Modes_of_Travel,Combined_Date,Year,Month,Income_USD,arrivals_by_region,Hobby,payment_preferences,Cuisine,Preferred_Travel_Seasons,Frequency_of_Travel,package_types,package_cost,package_price,profit,Transportation_Mode,Event_Type,Room_Preferences,Hotel_Type,Location,Total_Spendings,Subscribed_to_Loyalty_Program,Visited_attraction,Visitor_thoughts,Travel_type,Review,cluster,Num_of_Visits
1011,11,QPU0NQCKS,Priscilla Collins PhD,PhD.Priscilla74@att.com,833-887-7898,************4642,65,Private,Married-civ-spouse,Machine-op-inspct,,744 Denise Station Apt. 106,20534,Male,Air,2020-01-18,2020,Jan,>50K,Africa,Playing musical instruments,Credit Card,Indian,Spring,Rare,Standard,700,1000,300,Bus,Other,Suite,Luxury,Al Rayyan,16990,False,Pearl,Interesting but dull copies of fancy regions/cities, Solo,"I walked for a couple of hours from the metro station to the Isola clock, where the Isola Dana begins while walking through many parts of the island (most of the time it was like a ghost town). They tried to imitate some regions like Venice (Qanat Quartier) or Andalucia which look interesting but are somewhat dull copies. I wanted to take pictures with a DSLR, but as it was a ""big"" camera I was not allowed to use it because the guards considered it a ""professional"" camera whereas therefore the mirrorless I used afterwards was okay. Obviously being rich doesn't mean to have taste nor knowing about the latest advancements in modern technology ðŸ¤ª",,6
1012,12,3JFMM2QAE,Laurie Smith,Smith.Laurie@att.com,804-383-4080,************5450,36,Federal-gov,Married-civ-spouse,Adm-clerical,Bachelors,364 Dunlap Drive,20157,Male,Air,2020-01-24,2020,Jan,<=50K,Africa,Swimming,PayPal,Indian,Summer,Occasional,Basic,300,500,200,Car,Festival,Suite,Luxury,Al Wakrah,11929,True,Pearl,Nice views at sunset, Couples,We sailed into the harbour on a dhow which was nice but I wouldn't spend any more time on this attraction.,,2
1013,13,D3SM9AV00,Casey Thomas,Casey_T78@outlook.com,211-071-2173,************8518,26,Private,Never-married,Adm-clerical,,,91638,Female,Air,2020-01-10,2020,Jan,<=50K,Africa,Gardening,Credit Card,Japanese,Spring,Rare,Premium,2500,3100,600,Bus,Other,Double,Luxury,Doha,14543,False,Pearl,If you don't have something else to do...,,"Can't understand what people feel special about this place. It's okeyish, some restaurants, lots of yachts and a couple of stores. I mean, good for a stroll and eat something. Maybe it was better during the World Cup...",,0
1014,14,9N4GV1V2H,Rachel Friedman,Rachel.F@protonmail.com,435-075-8409,************9767,58,,Married-civ-spouse,,HS-grad,3929 Patrick Burgs Suite 109,87800,Male,Air,2020-01-03,2020,Jan,<=50K,Africa,Photography,PayPal,Arabic,Spring,Occasional,Standard,700,1000,300,Bus,Doha Expo,Double,Budget,Al Wakrah,16950,False,Pearl,An artificial luxury island,,"Another construction achievement and a great example of exaggeration and luxury. A similar creation to this one in Dubai. It does not have much interest to offer apart from beautiful images of the city. Arab luxury and many European visitors. Rich constructions and building apartments, luxury shops for the rich and some interesting (at first sight) restaurants without alcohol. The view of the marina with the yachts is impressive. A visit to quench your curiosity does not hurt!",,2
1015,15,00O9KR14V,Edward Torres,,790-746-7471,************7719,48,Private,Married-civ-spouse,Machine-op-inspct,HS-grad,6629 Willie Ridge,66553,Male,Air,2020-01-15,2020,Jan,>50K,Africa,Photography,Bank Transfer,Thai,Autumn,Frequent,Premium,2500,3100,600,Metro,Workshop,Single,Budget,Al Rayyan,23834,False,Pearl,Nice but no MUST,,Very modern and luxury buildings on an artificially island. This can also be seen in other arabic countries and is not a MUST.,,6
1016,16,RDPU21Y7F,Samuel Zavala,Zavala_Samuel46@xfinity.com,649-384-5387,************7612,43,Private,Married-civ-spouse,Exec-managerial,Masters,7835 Kathryn Terrace,84222,Male,Air,2020-01-03,2020,Jan,>50K,America,Traveling,Bank Transfer,Indian,Summer,Occasional,Premium,2500,3100,600,Car,Doha Expo,Single,Luxury,Al Daayen,7513,False,Pearl,Great landmark for a couple of minutes visit, Business,We saw the Pearl shell in Doha which is to represent the huge estate called The Pearl. It was impressive to see but only need a couple of minutes to have your photo taken with it.,,0
1017,17,AO25GNF68,Dr. Victor Martin,Dr.Martin@xfinity.com,331-430-8824,************6279,20,State-gov,Never-married,Other-service,Some-college,,15188,Male,Air,2020-01-16,2020,Jan,<=50K,America,Painting,PayPal,Chinese,Spring,Frequent,Standard,700,1000,300,Car,Festival,Suite,Budget,Al Wakrah,4845,True,Pearl,OK for a coffee,,"It is a huge and somehow impressive built. The view was a bit spoiled by the ongoing constructions in the central island, when we were there. I can imagine the area is much more interesting for those who have an apartment there, or perhaps in the evening.",,0
1018,18,4OOW6R6V3,Sara Lee,,573-306-9938,************8950,43,Private,Married-civ-spouse,Adm-clerical,HS-grad,3563 Krystal Fall Apt. 223,9411,Female,Air,2020-01-09,2020,Jan,<=50K,America,Photography,Credit Card,Chinese,Autumn,Occasional,Premium,2500,3100,600,Car,Exhibition,Suite,Mid-Range,Madinat ash Shamal,19353,True,Pearl,Over Hyped!!,,"My husband and I visited here on 28 December 2019.  Nice for a walk and see how the other half live, and great if you are impressed with designer shops/brands!!  There are a number of coffee shops, Chopard, Versace, Hermes, all the usual designer labels; you can walk round and see the yachts and speedboats, but other than that it's a bit of a waste of time.",,2
1019,19,9XR4LBWZU,Curtis Rodriguez,,466-424-2102,************1179,37,Private,Widowed,Machine-op-inspct,HS-grad,9274 Joseph Vista Suite 620,14371,Female,Air,2020-01-12,2020,Jan,<=50K,America,Cooking,Bank Transfer,French,Summer,Rare,Standard,700,1000,300,Metro,Concert,Double,Luxury,Madinat ash Shamal,21594,False,Pearl,"Gorgeous to look at, but so empty",,"Like many things in Doha, the Pearl is a visual feast with shops, waterfront, yachts, and architecture. At night, it is even more beautiful. But it is just so empty. If you are looking for a bustling downtown feeling, you will not find it here. But if you have time to wander and look, take a leisurely stroll.",,2
1020,20,WRTT6QR0N,Stephanie Schmidt,StephanieSchmidt@hotmail.com,896-642-1049,,40,Private,Married-civ-spouse,Prof-specialty,Doctorate,,35563,Male,Air,2020-01-18,2020,Jan,>50K,America,Photography,Bank Transfer,Chinese,Winter,Frequent,Standard,700,1000,300,Metro,Doha Expo,Suite,Budget,Doha,10122,True,Pearl,dinner,,Worth going for a stroll and dinner looking at beautiful boats and a good choice of restaurants. very few places serve alcohol,,4
1021,21,DCIUTX1BC,John Matthews,John.Matthews@aol.com,952-496-4398,************1019,34,Private,Married-civ-spouse,Tech-support,Bachelors,41362 Shane Fords,60958,Male,Air,2020-01-22,2020,Jan,>50K,America,Swimming,Credit Card,Mexican,Summer,Frequent,Standard,700,1000,300,Car,Marathon,Suite,Budget,Al Rayyan,21418,False,Pearl,Nice but boring and empty residential area, Family,"Nice and carefully planned residential area. However, except great architecture, there is not much to see in the Pearl. No any activities, no entertainment in the evenings, no any amazing restaurants, bit empty and quiet place. Lot of vacant retail and residential units, very boring ambience despite the weather is nice in November.",,2
1022,22,K3G156VVM,Robert Chung,Robert.Chung47@yandex.com,382-465-6552,************8524,34,Private,Never-married,Other-service,Some-college,70347 Shelby Ridges,2919,Female,Air,2020-01-04,2020,Jan,<=50K,America,Photography,Bank Transfer,Italian,Summer,Occasional,Premium,2500,3100,600,Bus,Championship event,Single,Mid-Range,Al Wakrah,10394,False,Pearl,Nothing to see here...at least during the day,,It's just a bunch of buildings and what appears to be some fake store fronts at least during the day.  I'm told it maybe picks up at night and there are restaurants and shops open.  I was there during the day and wouldn't recommend going then.,,3
1023,23,RMHQF4F2W,Mark Garcia,MGarcia16@comcast.net,784-675-4921,************4371,72,,Divorced,,7th-8th,9600 Le Ways,18201,Female,Air,2020-01-23,2020,Jan,<=50K,America,Cycling,PayPal,Japanese,Summer,Rare,Premium,2500,3100,600,Bus,Exhibition,Single,Mid-Range,Al Wakrah,18007,True,Pearl,Where is everybody?,,"It has to be like Dubai Marina. In general it is, but there is no spirit, there are no people. I visited during lunchtime, perhaps later?",,6
1024,24,7K2J2YI1B,Brandon Taylor,BrandonTaylor@hotmail.com,227-329-7167,,25,Private,Never-married,Prof-specialty,Bachelors,074 Gomez Circle,58142,Male,Air,2020-01-20,2020,Jan,<=50K,America,Reading,Credit Card,Arabic,Autumn,Rare,Basic,300,500,200,Metro,Exhibition,Double,Mid-Range,Al Khor,14824,False,Pearl,Nothing special, Family,Just a part of city. On map and from flight look nice but on ground you can not see anything different then just residential area,,6
1025,25,O4MG2E9KZ,Angie Sanchez,Angie_Sanchez@att.com,211-889-2476,************8871,25,Private,Married-civ-spouse,Prof-specialty,,119 Obrien Spurs,26289,Male,Air,2020-01-10,2020,Jan,<=50K,America,Cooking,PayPal,Chinese,Spring,Rare,Basic,300,500,200,Metro,Exhibition,Suite,Luxury,Doha,15517,True,Pearl,, Couples,"Actually nothing . This was my feeling there . Doha offers you some other possibilities, and places , if you just have a look on the â€œpearlâ€, thatâ€™s enough ;/)",,6
1026,26,HKJ9LLALR,Alexis King,King_Alexis70@hotmail.com,103-516-5853,************6809,45,Self-emp-not-inc,Married-civ-spouse,Craft-repair,,4286 Sharon Mill Apt. 538,1715,Male,Air,2020-01-26,2020,Jan,>50K,America,Photography,Bank Transfer,French,Winter,Frequent,Premium,2500,3100,600,Metro,Exhibition,Single,Budget,Umm Salal Mohammed,21878,True,Pearl,Quiet, Couples,"Foolishly planned our break to be next to this area as we (wrongly) assumed it would be a nice â€˜buzzyâ€™ area of an evening. We were wrong. Itâ€™s very quiet, hardly anyone around. Not worth the visit really.",,6
1027,27,U1KFO9RMP,Michael Davidson,MichaelDavidson82@att.com,336-525-2460,************8662,22,Private,Never-married,Adm-clerical,HS-grad,47364 Peterson Manors,15405,Male,Air,2020-01-12,2020,Jan,<=50K,America,Swimming,PayPal,Thai,Autumn,Occasional,Standard,700,1000,300,Metro,Football event,Suite,Budget,Doha,25868,True,Pearl,"Pure artificial area, not my place", Solo,"Ok, nice buildings, fountains, canals, big boats, etc. fancy stuff. Much the same as in the Emirates, so nothing unique.",,6
1028,28,RTI8OIXJY,Jaime Flynn,JaimeFlynn29@gmail.com,549-866-3721,,23,Private,Separated,Machine-op-inspct,HS-grad,6693 Lloyd Street,69025,Male,Air,2020-01-04,2020,Jan,<=50K,America,Reading,PayPal,Mexican,Autumn,Rare,Premium,2500,3100,600,Car,Concert,Double,Luxury,Al Wakrah,19138,True,Pearl,fake pearl,,I took a walk from my hotel (mondrian) to the pearl. Pavement stops at any time because it's still all under construction. The pearl certainly disappointed me as it is all so ....fake. Even the marina with its yachts wasn't lively....dont bother to go there,,1
1029,29,TBP9ZUUVK,Mrs. Alicia Williams,Mrs..W61@yandex.com,427-564-4927,************4445,54,Private,Married-civ-spouse,Craft-repair,HS-grad,7101 Matthews Coves Suite 118,91855,Male,Air,2020-01-06,2020,Jan,<=50K,America,Cycling,Bank Transfer,Japanese,Spring,Occasional,Basic,300,500,200,Car,Doha Expo,Suite,Mid-Range,Madinat ash Shamal,17144,True,Pearl,Nice place, Couples,It's residential towers with Limited shops with brand name. Some restaurants.it need a good weather to vist there  it's classy environment,,2
1030,30,MWH1CH8TL,Heather Hart,Heather.H@xfinity.com,431-329-6663,************2780,32,Self-emp-not-inc,Never-married,Prof-specialty,,84552 Horton Green Suite 384,80515,Male,Air,2020-01-12,2020,Jan,<=50K,America,Painting,Bank Transfer,Arabic,Winter,Rare,Premium,2500,3100,600,Bus,Exhibition,Suite,Mid-Range,Al Rayyan,18445,True,Pearl,Not my kind of place, Solo,"I have been to The Pearl a few times. Itâ€™s a man-made Island, a place many expats live. It has beautiful architecture and is one place you can walk your dog publicly. However, I find the place quite dead and soul-less. Moreover there have been many roadworks leading to and from The Pearl so I can never seem to drive my way out without getting lost or stuck. The Lagoona Mall is also boring with few popular stores. Iâ€™ll give it sometime and try again but for now itâ€™s a thumbs down.",,2
1031,31,WJTC9E8VW,Diamond Wilson,Wilson.Diamond@comcast.net,870-563-6202,************8017,46,State-gov,Married-civ-spouse,Exec-managerial,Some-college,000 Jimenez Parkways,21582,Male,Air,2020-01-22,2020,Jan,>50K,America,Traveling,Credit Card,Italian,Autumn,Frequent,Basic,300,500,200,,Other,Double,Mid-Range,Doha,10133,True,Pearl,The Bore, Friends,"Wealth in a manner that is nice to the eye but nothing much to do with it. I am amazed at the 5 star reviews, I guess some people donâ€™t travel as much. Nothing cultural about it, no activities, just walking on some closed stores, a nice car drives by every so often and Dohaâ€™s utter intent to make this a tourist spot without a soul. I am here for a sporting event and I am amazed how they get to host a FIFA World Cup. Well not that ama$ed that they got it, but still, these people are not ready to receive thousands of people with their alcohol restriction and their no-fun clauses.",,2
1032,32,CAT0ZQU9U,Paul Williams,Williams_Paul@xfinity.com,789-736-8837,************7006,56,Self-emp-not-inc,Widowed,Other-service,11th,,9266,Female,Air,2020-01-07,2020,Jan,<=50K,America,Cooking,Bank Transfer,Arabic,Autumn,Rare,Standard,700,1000,300,Metro,Other,Single,Mid-Range,Madinat ash Shamal,21137,True,Pearl,Waste of time,,Why a taxi driver thinks a tourist would want to see this area I do not know. Soulless and void of any character.,,3
1033,33,TEJUKMWRH,Reginald Cunningham,Reginald_C57@outlook.com,800-249-2144,************5699,24,Self-emp-not-inc,Never-married,Sales,Bachelors,13508 Powers Forks,3498,Male,Air,2020-01-04,2020,Jan,<=50K,America,Playing musical instruments,Bank Transfer,Indian,Summer,Rare,Basic,300,500,200,Car,Doha Expo,Double,Mid-Range,Al Wakrah,26927,False,Pearl,Skip it!, Couples,I was so disappointed to realize this is a residential and commercial area with nothing interesting to see. We walked literally in figures 8s trying to find a slice of beach with no success- just for a photo opp..,,2
1034,34,W2YVS070J,Willie Sims,Willie_S@yahoo.com,,************7682,23,Local-gov,Married-civ-spouse,Protective-serv,Some-college,62018 Megan Springs,30773,Male,Air,2020-01-17,2020,Jan,<=50K,America,Playing musical instruments,Bank Transfer,Arabic,Summer,Rare,Basic,300,500,200,Metro,Championship event,Suite,Luxury,Al Daayen,25281,False,Pearl,Soulless luxury, Family,"An amazing area (when thinking of the scale of the project) but lifeless. Wanted to see it, and having done the, I know I won't be back. Loads of shops (most were closed or empty) a lot of staff, with nothing to do. Security all over (wonder why) and cleaning staff looking for something to clean (place was spotless)We walked there for 2-3 hours and met less than 20 people not working there. The place is HUGE, and they are still building loads of appartments. Wonder who they are building for?Finished off at an area looking like Venice in italy. It was deserted! Saw 1 car parked, rest was a ghost place. Kinda scary. Heard a lot of Qatar airways pilots live there, wonder if anyone else live there?Some high end luxury yachts a harboured there, so some really rich people much have some places there. Finished off at the beach (saw 2 people there) but we were turnes away for not having a ""beach pass""....... But I must admit that I found the whole man made island very unattractive, and soullessðŸ˜“",,6
1035,35,P0DFDUD0C,Alex Brown,Alex.B@zoho.com,956-737-1944,************4084,26,Private,Divorced,Exec-managerial,HS-grad,394 Shaw Trail,41206,Female,Air,2020-01-15,2020,Jan,<=50K,America,Gardening,Credit Card,Other,Summer,Rare,Premium,2500,3100,600,Metro,Festival,Single,Mid-Range,Doha,28657,False,Pearl,The Pearl that lost its lustre, Couples,"When walking around the Pearl area you will quickly ask yourself if you are in a ghost town or the set of a zombie movie. Most of the retailers appear to be closed or boarded up. Grocery stores closed with empty shelves visible. Chocolate shops as well. Large retailers gone.Don't waste your time traveling over there, especially around Main marina area.",,5
1036,36,W34B1XL5H,Virginia Holden,Virginia.H@aol.com,734-480-9929,************8469,65,,Married-civ-spouse,,,,75258,Male,Air,2020-01-05,2020,Jan,<=50K,America,Swimming,Bank Transfer,Japanese,Summer,Frequent,Standard,700,1000,300,Metro,Marathon,Single,Luxury,Doha,12346,False,Pearl,Anime Cafe,,"Very nice anime style cafe, in the pearl, very suitable for young people and teenagers... their anime Spanish is really nice. And i loved their crape cake and their Japanese cheesecake...",,3
1037,37,OC5RBHJSB,John Smith,,624-965-3392,************6445,36,Local-gov,Married-civ-spouse,Prof-specialty,Bachelors,328 Jason Skyway Suite 047,99331,Male,Air,2020-01-04,2020,Jan,>50K,America,Reading,Bank Transfer,Thai,Winter,Frequent,Premium,2500,3100,600,Bus,Doha Tour,Single,Budget,Al Wakrah,11381,False,Pearl,Not up to any standars, Business,"Not good You feel this is just waste of time and money placeOf course not like the beauty of other countries in the region like Lebanon, dubai and Egypt",,0
1038,38,WEDJ49SWJ,Jennifer Barton,JBarton@hotmail.com,902-792-8048,************2544,22,Private,Never-married,Priv-house-serv,5th-6th,947 Lydia Centers,20206,Male,Air,2020-01-27,2020,Jan,<=50K,America,Photography,PayPal,Mexican,Summer,Occasional,Standard,700,1000,300,Metro,Concert,Double,Mid-Range,Al Khor,20782,True,Pearl,Walking around, Solo,"Best man made island in qatar , souq al madina is recommended to visit with afternoon and spoils ur self with the various restaurants arounds and coffe shops",,4
1039,39,I5S51JSIJ,Richard Holt,Richard.Holt@hotmail.com,,************7544,17,Private,Never-married,Machine-op-inspct,10th,09509 Kim Freeway Suite 765,43424,Male,Air,2020-01-17,2020,Jan,<=50K,America,Playing musical instruments,PayPal,Japanese,Autumn,Rare,Standard,700,1000,300,Metro,Concert,Single,Luxury,Umm Salal Mohammed,2857,False,Pearl,Boring place,,"Getting there by car is a nightmare. The jam going in and out is horrendous. Restaurants/cafes are pricey. Too many smokers/shisha making the air quite smelly. The golf carts are annoying. Watch your kids walking as the golf carts may knock down your kids. Many blind spots for the golf carts. A better time to visit will be the day time and winter. During this period, nice pleasant temperature and not crowded. When night falls, traffic jams and over crowding will happen.",,3
1040,40,FEZSE9AJL,Amy Green,Amy.Green56@gmail.com,858-208-4589,************3073,20,Private,Never-married,Craft-repair,HS-grad,342 Evans Islands,22754,Male,Air,2020-01-09,2020,Jan,<=50K,America,Swimming,Credit Card,Chinese,Spring,Frequent,Basic,300,500,200,,Workshop,Double,Mid-Range,Doha,24998,False,Pearl,Parallel world, Business,"The pearl is a residential area mainly for rich expats, or so it seems. There are expensive shops without customers and it has a Disneyland-feeling. Nothing to do or see here.",,6
1041,41,IKJEF5I67,Kimberly Perez,,320-615-3590,,65,Private,Married-civ-spouse,Prof-specialty,Masters,,13717,Male,Air,2020-01-01,2020,Jan,>50K,America,Cooking,Bank Transfer,Thai,Spring,Rare,Standard,700,1000,300,Bus,Festival,Suite,Mid-Range,Umm Salal Mohammed,13909,False,Aspire,Less food stalls, Friends,"Aspire is a huge place but less food stalls, also i don't know why they are not letting us to go further inside the park.",,4
1042,42,2VS0J2P44,Carly Armstrong,CArmstrong@mail.com,521-784-3601,************7391,44,Self-emp-inc,Married-civ-spouse,Sales,Assoc-voc,51676 Olivia Mount Suite 357,66731,Male,Air,2020-01-22,2020,Jan,>50K,America,Cooking,PayPal,Chinese,Spring,Rare,Premium,2500,3100,600,Bus,Doha Expo,Double,Mid-Range,Al Wakrah,3073,True,Aspire,Bachelor's not Allowed, Friends,"We thought to visit the park before entering Villaggio Shopping Mall, but as soon as we entered. The security guard cane to us and said this park is only for families and bachelor's are not allowed. When we asked why and blatantly said IT'S THE PARK RULE. Seriously which park in the World have such horrible rule that doesn't allow bachelor's to visit a park.TOTALLY DISAPPOINTED. So avoid visiting the park as a bachelor.",,3
1043,43,RBU0LQEOL,Scott Hammond,ScottHammond41@verizon.com,632-108-8350,************4823,36,Private,Married-civ-spouse,Farming-fishing,HS-grad,094 Stephen Parkways Suite 903,19073,Male,Air,2020-01-27,2020,Jan,<=50K,America,Gardening,Credit Card,Italian,Winter,Occasional,Basic,300,500,200,Metro,Doha Tour,Suite,Luxury,Al Rayyan,23108,True,Aspire,Bad experience ....., Solo,I crossed many time near this park with my car during I was to go in Villaggio for shopping. One day me and my friend decided to stop here for a nice walk in the park. After 10 seconds we are walking in came a security guard to us and banned us to the park. He said inside the park is allowed to go only families and woman. No single man or mans. WTF ! First time in my life happen something like that ! In a open area green park is banned mans? This is one of so many strange laws of Qatar. I was never anymore back to this park.,,5
1044,44,YUPL9IR80,Debra Fuller,,229-134-3710,************3550,29,Private,Married-civ-spouse,Other-service,,52934 Mary Bridge Apt. 244,24939,Male,Air,2020-01-01,2020,Jan,<=50K,America,Painting,Credit Card,Other,Summer,Frequent,Basic,300,500,200,Metro,Marathon,Single,Budget,Al Daayen,15412,False,Aspire,Annoying!, Couples,"The park is really beautiful, clean and quiet during the week. Only problem is security will try it's best to make you feel as UNCOMFORTABLE as possible, chasing you around in the park. We are not even allowed to lay down in our mats in the grass! It's ridiculous!If you want to relax in the grass, get some sun and read a book... I recommend you look for somewhere else.",,0
1045,45,CTE7M2YFC,Rachel Davis,RachelDavis@mail.com,549-261-2558,************2810,20,State-gov,Never-married,Farming-fishing,Some-college,,68213,Male,Air,2020-01-09,2020,Jan,<=50K,America,Traveling,Credit Card,Other,Spring,Rare,Premium,2500,3100,600,Metro,Doha Tour,Single,Budget,Al Rayyan,18678,False,Aspire,Horrible experience, Friends,"This park is made only for qataris, everyone else there is treated like rubbish. They are blatantly racist and make u uncomfortable. This spoilt my mood for the rest of the day on my holiday, best to avoid it. Its ridiculous that in a park you have to watch where you walk and cannot play with a ball.I would not recommend this to any holiday maker.",,6
